date,location,new_cases,new_deaths,total_cases,age,total_deaths,new_recovered,age,total_recovered
2020-03-12,Honduras,2,0,2,0,0,0,,
2020-03-13,Honduras,0,0,2,0,0,0,0,0
2020-03-14,Honduras,1,0,3,0,0,0,,
2020-03-15,Honduras,0,0,3,,,,,
2020-03-16,Honduras,3,0,6,0,0,0,,
2020-03-17,Honduras,2,0,8,0,0,0,,
2020-03-18,Honduras,1,0,9,0,0,0,,
2020-03-19,Honduras,3,0,12,0,0,0,,
2020-03-20,Honduras,12,0,24,0,0,0,,
2020-03-21,Honduras,2,0,26,0,0,0,,
2020-03-22,Honduras,1,0,27,0,0,0,,
2020-03-23,Honduras,3,0,30,0,0,0,,
2020-03-24,Honduras,6,0,36,0,0,0,,
2020-03-25,Honduras,16,0,52,0,0,0,,
2020-03-26,Honduras,16,1,68,0,1,0,,
2020-03-27,Honduras,27,0,95,0,1,3,,3
2020-03-28,Honduras,15,2,110,0,3,0,,3
2020-03-29,Honduras,29,,139,,,,,
2020-03-30,Honduras,2,,141,,,,,
2020-03-31,Honduras,31,,172,,,,,
2020-04-01,Honduras,47,,219,,,,,
2020-04-02,Honduras,3,,222,,,,,
2020-04-03,Honduras,42,,264,,,,,
2020-04-04,Honduras,4,,268,,,,,
2020-04-05,Honduras,30,,298,,,,,
2020-04-06,Honduras,7,,305,,,,,
2020-04-07,Honduras,7,,312,,,,,
2020-04-08,Honduras,31,,343,,,,,
2020-04-09,Honduras,39,,382,,,,,
2020-04-10,Honduras,10,,392,,,,,
2020-04-11,Honduras,1,,393,,,,,
2020-04-12,Honduras,4,,397,,,,,
2020-04-13,Honduras,10,,407,,,,,
2020-04-14,Honduras,12,,419,,,,,
2020-04-15,Honduras,7,,426,,,,,
2020-04-16,Honduras,16,,442,,,,,
2020-04-17,Honduras,15,,457,,,,,
2020-04-18,Honduras,15,,472,,,,,
2020-04-19,Honduras,5,,477,,,,,
2020-04-20,Honduras,17,,494,,,,,
